region,version,rank,code,count,percent
A1,A,1,b1i,5,4.9504950495049505
A1,A,2,b3j,4,3.9603960396039604
A1,A,3,b1f,3,2.9702970297029703
A1,A,4,d1m,3,2.9702970297029703
A1,A,5,e,3,2.9702970297029703
A1,A,6,a4vyf,2,1.9801980198019802
A1,A,7,d2k,2,1.9801980198019802
A1,A,8,d2j,2,1.9801980198019802
A1,A,9,a5uze,2,1.9801980198019802
A1,A,10,c1zf,2,1.9801980198019802
A1,A,11,a5uyf,2,1.9801980198019802
A1,A,12,b1l,2,1.9801980198019802
A1,A,13,a5tye,2,1.9801980198019802
A1,A,14,c1yi,2,1.9801980198019802
A1,A,15,b2e,2,1.9801980198019802
A1,A,16,b4i,2,1.9801980198019802
A1,A,17,a1txi,1,0.9900990099009901
A1,A,18,b1k,1,0.9900990099009901
A1,A,19,a2wyf,1,0.9900990099009901
A1,A,20,a4tzf,1,0.9900990099009901
A1,A,21,c1yj,1,0.9900990099009901
A1,A,22,d2l,1,0.9900990099009901
A1,A,23,a2tyj,1,0.9900990099009901
A1,A,24,z1h,1,0.9900990099009901
A1,A,25,z1i,1,0.9900990099009901
A1,A,26,a2wf,1,0.9900990099009901
A1,A,27,a4txf,1,0.9900990099009901
A1,A,28,a2txf,1,0.9900990099009901
A1,A,29,a1vxe,1,0.9900990099009901
A1,A,30,N,1,0.9900990099009901
A1,A,31,a4uze,1,0.9900990099009901
A1,A,32,f,1,0.9900990099009901
A1,A,33,a4tze,1,0.9900990099009901
A1,A,34,a1uxf,1,0.9900990099009901
A1,A,35,a1tze,1,0.9900990099009901
A1,A,36,a5txe,1,0.9900990099009901
A1,A,37,d2i,1,0.9900990099009901
A1,A,38,a2tyi,1,0.9900990099009901
A1,A,39,a4tyi,1,0.9900990099009901
A1,A,40,a1txj,1,0.9900990099009901
A1,A,41,c1xj,1,0.9900990099009901
A1,A,42,b1g,1,0.9900990099009901
A1,A,43,a3vze,1,0.9900990099009901
A1,A,44,a2wxi,1,0.9900990099009901
A1,A,45,c2x,1,0.9900990099009901
A1,A,46,a3zf,1,0.9900990099009901
A1,A,47,a3uzf,1,0.9900990099009901
A1,A,48,ayj,1,0.9900990099009901
A1,A,49,a1vyh,1,0.9900990099009901
A1,A,50,a3tyf,1,0.9900990099009901
A1,A,51,a3tzh,1,0.9900990099009901
A1,A,52,c1ye,1,0.9900990099009901
A1,A,53,b2i,1,0.9900990099009901
A1,A,54,a4vzf,1,0.9900990099009901
A1,A,55,a1txh,1,0.9900990099009901
A1,A,56,a5uxf,1,0.9900990099009901
A1,A,57,c1yf,1,0.9900990099009901
A1,A,58,b4f,1,0.9900990099009901
A1,A,59,a1wyi,1,0.9900990099009901
A1,A,60,c2xe,1,0.9900990099009901
A1,A,61,c2ze,1,0.9900990099009901
A1,A,62,c1ze,1,0.9900990099009901
A1,A,63,ae,1,0.9900990099009901
A1,A,64,a4vxi,1,0.9900990099009901
A1,A,65,a3vzf,1,0.9900990099009901
A1,A,66,a2vye,1,0.9900990099009901
A1,A,67,b2l,1,0.9900990099009901
A1,A,68,b3i,1,0.9900990099009901
A1,A,69,a4txi,1,0.9900990099009901
A1,A,70,a1txg,1,0.9900990099009901
A1,A,71,i,1,0.9900990099009901
A1,A,72,a2tyf,1,0.9900990099009901
A1,A,73,a2ze,1,0.9900990099009901
A1,A,74,a2wyg,1,0.9900990099009901
A1,A,75,a2wyi,1,0.9900990099009901
A1,A,76,c1zi,1,0.9900990099009901
A1,A,77,b4g,1,0.9900990099009901
A1,B,1,b1i,5,5.0
A1,B,2,b3j,4,4.0
A1,B,3,b1f,3,3.0
A1,B,4,d1m,3,3.0
A1,B,5,e,3,3.0
A1,B,6,a4vyf,2,2.0
A1,B,7,b2e,2,2.0
A1,B,8,a5uze,2,2.0
A1,B,9,d2k,2,2.0
A1,B,10,a5tye,2,2.0
A1,B,11,a5uyf,2,2.0
A1,B,12,b1l,2,2.0
A1,B,13,c1yi,2,2.0
A1,B,14,d2j,2,2.0
A1,B,15,b4i,2,2.0
A1,B,16,c1zf,2,2.0
A1,B,17,a2wyf,1,1.0
A1,B,18,b1k,1,1.0
A1,B,19,c1yj,1,1.0
A1,B,20,a4tzf,1,1.0
A1,B,21,a1txi,1,1.0
A1,B,22,d2l,1,1.0
A1,B,23,z1i,1,1.0
A1,B,24,a2tyj,1,1.0
A1,B,25,a2wxi,1,1.0
A1,B,26,a2wf,1,1.0
A1,B,27,a1vxe,1,1.0
A1,B,28,a2txf,1,1.0
A1,B,29,a4uze,1,1.0
A1,B,30,a3vze,1,1.0
A1,B,31,f,1,1.0
A1,B,32,a4tze,1,1.0
A1,B,33,a1uxf,1,1.0
A1,B,34,a1tze,1,1.0
A1,B,35,a5txe,1,1.0
A1,B,36,d2i,1,1.0
A1,B,37,a2tyi,1,1.0
A1,B,38,a4tyi,1,1.0
A1,B,39,a1txj,1,1.0
A1,B,40,c1xj,1,1.0
A1,B,41,z1h,1,1.0
A1,B,42,b1g,1,1.0
A1,B,43,a4txf,1,1.0
A1,B,44,c2x,1,1.0
A1,B,45,a3zf,1,1.0
A1,B,46,a3uzf,1,1.0
A1,B,47,ayj,1,1.0
A1,B,48,a1vyh,1,1.0
A1,B,49,a3tyf,1,1.0
A1,B,50,a3tzh,1,1.0
A1,B,51,c1ye,1,1.0
A1,B,52,b2i,1,1.0
